source	target
ATF1	ZNF511
ATF1	ZNF561
ATF1	MLL3
ATF1	ZNF57
ATF1	ZNF547
ATF1	HKR1
ATF1	ZNF710
ATF1	MBNL1
ATF1	ZNF772
ATF1	MAF
ATF1	U2AF1L4
ATF1	WHSC1
ATF1	ZNF562
ATF1	HES4
ATF1	ZNF576
ATF1	ZNF555
ATF1	TFCP2
ATF1	MRRF
ATF1	HDX
ATF1	ZNF501
ATF1	LARP7
ATF1	GTF2F1
ATF1	NFX1
ATF1	ZNF76
ATF1	CUL4B
ATF1	SLC30A9
ATF1	ZNF460
ATF1	ZNF184
ATF1	ZNF180
ATF1	BAZ2B
ATF1	ZBTB11
ATF1	ZBTB5
ATF1	ADNP2
ATF1	ZC3H4
ATF1	ADNP
ATF1	ZNF10
ATF1	ZNF593
ATF1	PHF20
ATF1	ZNF711
ATF1	ZNF335
ATF1	ZNF34
ATF1	ZC3H10
ATF1	DEPDC4
ATF1	ZNF543
ATF6	ZNF473
ATF6	ZNF182
ATF6	ISX
ATF6	ZNF121
ATF6	FOXP1
ATF6	ZNF772
ATF6	MAF
ATF6	U2AF1L4
ATF6	WHSC1
ATF6	PRR3
ATF6	FOSB
ATF6	PAX6
ATF6	ZNF562
ATF6	HES4
ATF6	ZNF438
ATF6	SKIL
ATF6	ZNF576
ATF6	ZNF200
ATF6	GATA2
ATF6	MAFF
ATF6	ZNF548
ATF6	ZNF555
ATF6	TFCP2
ATF6	MRRF
ATF6	HDX
ATF6	KLF11
ATF6	RNF138
ATF6	APTX
ATF6	THAP3
ATF6	ZNF410
ATF6	CDC5L
ATF6	ZNF501
ATF6	LARP7
ATF6	ZNF266
ATF6	NR6A1
ATF6	GTF2F1
ATF6	ID1
ATF6	NFX1
ATF6	RFX1
ATF6	STAT3
ATF6	YY1
ATF6	ZNF76
ATF6	CUL4B
ATF6	DVL1
ATF6	DLX6
ATF6	ZBTB48
ATF6	SLC30A9
ATF6	RELB
ATF6	ZNF460
ATF6	ZNF184
ATF6	NUPL2
ATF6	ZNF180
ATF6	BAZ2B
ATF6	ETV2
ATF6	ZBTB11
ATF6	ZBTB5
ATF6	ADNP2
ATF6	MLXIP
ATF6	ZC3H4
ATF6	ADNP
ATF6	ZNF10
ATF6	ZNF593
ATF6	PHF20
ATF6	ZNF77
ATF6	ZNF711
ATF6	ZNF335
ATF6	NOC4L
ATF6	ZNF34
ATF6	ZC3H10
ATF6	ZNF511
ATF6	ZNF561
ATF6	DEPDC4
ATF6	ZNF57
ATF6	ZNF547
ATF6	ZNF543
BACH2	VDR
BACH2	HNF4A
BACH2	RARG
BACH2	RUNX1
BACH2	GATA3
BACH2	LBX2
BACH2	ZNF550
BACH2	NFKB2
BACH2	XBP1
BACH2	UNK
BACH2	REPIN1
BACH2	NFAT5
BACH2	ETS1
BACH2	KIAA1683
BACH2	ETV3
BACH2	UNKL
BACH2	DDIT3
BACH2	CAMTA1
BACH2	ZNF233
BACH2	IKZF1
BACH2	SP6
BACH2	PSMD11
BACH2	NR4A1
BACH2	ZNF76
BACH2	ZNF235
BACH2	KLF4
BACH2	FOXL1
BACH2	TFE3
BACH2	ZNF217
BACH2	ANAPC2
BACH2	TGIF1
BACH2	ZNF227
BACH2	E2F6
BACH2	CRX
BACH2	ZMAT5
BACH2	MXI1
BACH2	ZNF780A
BACH2	FOXP1
BACH2	RARA
BACH2	ZNF181
BACH2	ZNF808
BACH2	ZNF674
BACH2	ZNF596
BACH2	RERE
BACH2	NCOR2
BACH2	PRR3
BACH2	MIER1
BACH2	ETV4
BACH2	FBXO41
BACH2	TBX18
BACH2	GPR123
BACH2	ZNF385B
BACH2	BCL6
BACH2	NFATC2
BACH2	DEPDC5
BACH2	NFYC
BACH2	COPS2
BACH2	TRAFD1
BACH2	PHB2
BACH2	RELA
BACH2	NR2F2
BACH2	ZBTB22
BACH2	ZNF716
BACH2	ETV1
BACH2	ZSCAN12
BACH2	FOXO4
BACH2	ZFAT
BACH2	HDX
BACH2	STAT6
BACH2	ZNF408
BACH2	ZNF75D
BACH2	MLL
BACH2	ZNF821
BACH2	EZH2
BACH2	RBM10
BACH2	KAT5
BACH2	POU2F2
BACH2	MEIS2
BACH2	ZNF691
BACH2	FOXM1
BACH2	SP1
BACH2	NR1H3
BACH2	CDC5L
BACH2	CUL3
BACH2	ZNF155
BACH2	SOX5
BACH2	MKRN2
BACH2	TFEB
BACH2	E2F4
BACH2	FOXO1
BACH2	MYC
BACH2	NPAS1
BACH2	PBX2
BACH2	PPP1R10
BACH2	REL
BACH2	SMARCA1
BACH2	SRF
BACH2	STAT3
BACH2	NFE2L1
BACH2	TFAP2C
BACH2	ZNF264
BACH2	ZNF134
BACH2	FOXH1
BACH2	CREB1
BACH2	FOXD2
BACH2	GCM2
BACH2	HIST1H1C
BACH2	HOXA1
BACH2	REST
BACH2	MTF1
BACH2	ZBTB18
BACH2	CREB3
BACH2	ZBTB6
BACH2	ZBTB25
BACH2	ZNF184
BACH2	ZNF236
BACH2	ZFPM2
BACH2	PLXNB2
BACH2	MYRF
BACH2	ZNF221
BACH2	BAZ2A
BACH2	ZNF318
BACH2	OTX1
BACH2	DHX34
BACH2	ZNF652
BACH2	ZNF292
BACH2	SUZ12
BACH2	SSH3
BACH2	ASH1L
BACH2	ZKSCAN4
BACH2	PRDM8
BACH2	ZNF287
BACH2	HOMEZ
BACH2	ZBTB2
BACH2	ZNF529
BACH2	ZNFX1
BACH2	ZNF71
BACH2	PKNOX2
BACH2	LHX5
BACH2	ZNF574
BACH2	HOXB4
BACH2	THAP2
BACH2	ZNF528
BACH2	TRERF1
BACH2	ZNF518B
BACH2	ZNF845
BACH2	DEPDC7
BACH2	ZNF558
BACH2	HMGA1
BACH2	ZNF709
BACH2	ZNF781
BACH2	MIER3
BACH2	DZIP1L
BACH2	MITF
BACH2	ZNF773
BACH2	MET
BACH2	TP53
BACH2	TFEC
BACH2	UBE2K
BACH2	TCF7
BACH2	EGR2
BACH2	HES4
BACH2	MXD3
BACH2	PRMT3
BACH2	ZNF138
BACH2	MNX1
BACH2	NKX2-5
BACH2	RREB1
BACH2	LARP4
BACH2	ZNF668
BACH2	THRA
BACH2	ZNF783
BACH2	NFIC
BACH2	JUN
BACH2	MGMT
BACH2	POU6F1
BACH2	DVL2
BACH2	ALX3
BACH2	ZNF92
BACH2	CSDC2
BACH2	ZNF646
BACH2	ZNF423
BACH2	RBM27
BACH2	MAFG
BACH2	ZNF514
BACH2	ZNF18
BACH2	ZNF582
BACH2	THAP8
BACH2	ZNF827
BACH2	CREM
BACH2	ZNF713
CBFB	RAG1
CBFB	ZNF311
CBFB	TSC22D3
CBFB	ZBTB16
CBFB	ZNF436
CBFB	ZNF133
CBFB	PRDM8
CBFB	ZNF385B
CBFB	NR1H3
CBFB	PRDM6
CBFB	HES4
CBFB	NFYC
CBFB	ETS1
CBFB	ZNF619
CBFB	ZNF566
CBFB	ZNF701
CBFB	ZNF408
CBFB	THRA
CBFB	TCF24
CBFB	NFATC4
CBFB	ZNF821
CBFB	POU2F2
CBFB	ESR2
CBFB	ESRRG
CBFB	SPDEF
CBFB	CUL3
CBFB	COPS4
CBFB	CREM
CBFB	OTX2
CBFB	CREBL2
CBFB	RUNX1
CBFB	RFX1
CBFB	LHX2
CBFB	ETV3
CBFB	STAT2
CBFB	ZNF460
CBFB	DMC1
CBFB	KIN
CBFB	AKAP8L
CBFB	TOX
CBFB	ZHX3
CBFB	ZNF3
CBFB	ZNF446
CBFB	BATF3
CBFB	ZNF319
CBFB	ZNF574
CBFB	HOXB8
CBFB	CHD9
CBFB	ZSCAN16
CBFB	ADAMTS19
CBFB	ZNF675
CBFB	ZNF585B
CBFB	ZNF585A
CBFB	ZNF792
CBFB	ZNF283
CBFB	ZNF804A
CBFB	ZSCAN23
CBFB	ZNF226
CBFB	ZNF808
CBFB	ZNF83
CBFB	FOXP3
CBFB	ZNF692
CBFB	ZNF611
CBFB	ETV1
CBFB	HDX
CBFB	STAT6
CBFB	ZNF43
CBFB	RPA2
CBFB	ZBTB5
CBFB	ZSCAN20
